"Best candidate","Second best candidate","Fourth best candidate","Third best candidate"
"Best candidate","Second best candidate","Fourth best candidate","Third best candidate"
"Best candidate","Second best candidate","Fourth best candidate","Third best candidate"
"Best candidate","Second best candidate","Fourth best candidate","Third best candidate"
"Best candidate","Fourth best candidate","Third best candidate","Second best candidate"
"Third best candidate","Fourth best candidate","Best candidate","Second best candidate"
"Third best candidate","Second best candidate","Fourth best candidate","Best candidate"
"Best candidate","Second best candidate","Third best candidate","Fourth best candidate"
"Best candidate","Second best candidate","Third best candidate","Fourth best candidate"
"Best candidate","Second best candidate","Third best candidate","Fourth best candidate"
"Best candidate","Second best candidate","Third best candidate","Fourth best candidate"
"Fourth best candidate","Best candidate","Third best candidate","Second best candidate"
"Fourth best candidate","Best candidate","Third best candidate","Second best candidate"
"Best candidate","Fourth best candidate","Second best candidate","Third best candidate"
"Fourth best candidate","Third best candidate","Second best candidate","Best candidate"
"Fourth best candidate","Third best candidate","Second best candidate","Best candidate"
"Second best candidate","Best candidate","Fourth best candidate","Third best candidate"
"Second best candidate","Best candidate","Fourth best candidate","Third best candidate"
"Second best candidate","Best candidate","Fourth best candidate","Third best candidate"
"Second best candidate","Best candidate","Fourth best candidate","Third best candidate"
"Second best candidate","Best candidate","Fourth best candidate","Third best candidate"
"Second best candidate","Best candidate","Fourth best candidate","Third best candidate"
"Second best candidate","Best candidate","Fourth best candidate","Third best candidate"
"Second best candidate","Best candidate","Third best candidate","Fourth best candidate"
"Second best candidate","Best candidate","Third best candidate","Fourth best candidate"
"Second best candidate","Best candidate","Third best candidate","Fourth best candidate"
"Second best candidate","Best candidate","Third best candidate","Fourth best candidate"
"Second best candidate","Best candidate","Third best candidate","Fourth best candidate"
"Second best candidate","Best candidate","Third best candidate","Fourth best candidate"
"Second best candidate","Best candidate","Third best candidate","Fourth best candidate"
"Second best candidate","Best candidate","Third best candidate","Fourth best candidate"
"Second best candidate","Best candidate","Third best candidate","Fourth best candidate"
"Second best candidate","Best candidate","Third best candidate","Fourth best candidate"
"Fourth best candidate","Best candidate","Second best candidate","Third best candidate"
"Fourth best candidate","Best candidate","Second best candidate","Third best candidate"
"Second best candidate","Fourth best candidate","Third best candidate","Best candidate"
"Second best candidate","Fourth best candidate","Third best candidate","Best candidate"
